LoggerLight version 1.3.0, 7/18/2018 9:17:42 AM, rapid sampling mode. Time is number of seconds past midnight of 7/18/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.549521E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
33478.6,0.6337257,9.979526,21.98002,272.9761,23.35995,-3.917094E-02,9.617018,18.73438,0.5675047,9.036037,20.34069,246.9409,9.617018,19.71094,
33478.89,0.6227294,9.807263,21.53514,267.1963,23.33352,-0.0858468,9.638247,18.73438,0.5686651,9.052104,20.41578,248.4341,9.595788,19.71094,
33479.19,0.6277948,9.90357,21.85499,272.8422,23.34705,-4.958101E-02,9.617018,18.73438,0.568471,9.057385,20.44399,249.9485,9.595788,19.71094,
33479.5,0.5413209,8.709879,19.94253,260.4227,23.38665,-3.844465E-02,9.638247,18.73438,0.5668225,9.030328,20.3388,247.7272,9.595788,19.71094,
33479.8,0.5456326,8.615298,19.195,246.9007,23.32064,-2.614623E-02,9.638247,18.73438,0.568431,9.044134,20.41925,249.2114,9.595788,19.71094,
33480.12,0.3660725,6.170217,14.12144,174.75,23.30566,-2.905137E-03,9.638247,18.73438,0.5686491,9.063273,20.49824,251.9733,9.595788,19.71094,
33480.42,0.3399831,5.84104,15.7313,221.5754,23.32073,3.452272E-02,9.638247,18.73438,0.5677428,9.038818,20.42367,250.6412,9.595788,19.71094,
33480.71,0.4894929,7.695927,17.5381,230.8314,23.38567,-6.00395E-03,9.638247,18.73438,0.568435,9.042767,20.45212,251.389,9.595788,19.71094,
33481.01,0.379494,6.353226,15.3912,207.1029,23.33213,-7.553357E-03,9.638247,18.73438,0.5682089,9.041794,20.46365,252.0379,9.595788,19.71094,
33481.3,0.3767796,6.324072,15.71721,209.9639,23.33247,2.377371E-02,9.638247,18.73438,0.5675247,9.043018,20.4626,252.1545,9.595788,19.71094,
33481.62,0.4044592,6.584342,15.68062,209.6424,23.33978,-1.307312E-02,9.638247,18.73438,0.5677068,9.042297,20.45337,252.3262,9.595788,19.71094,
33481.91,0.3513753,6.035599,15.70378,215.7091,23.33179,1.907707E-02,9.638247,18.73438,0.5677268,9.0439,20.45701,252.3901,9.595788,19.71094,
33482.21,0.3716457,6.21383,15.91058,222.7246,23.33256,0.0286156,9.638247,18.73438,0.5693113,9.059033,20.49806,253.3646,9.595788,19.71094,
33482.5,0.3787404,6.317804,15.89832,219.4195,23.35815,5.873219E-02,9.638247,18.73438,0.5691712,9.060292,20.49302,253.3605,9.595788,19.71094,
