LoggerLight version 1.3.0, 7/9/2018 1:48:24 PM, rapid sampling mode. Time is number of seconds past midnight of 7/9/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.735726E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
49731.29,3.706658E-03,6.02872E-03,0.6267172,642.4769,25.03283,2.027109,9.617018,23.12891,5.467039,28.23743,70.80357,1663.347,9.617018,24.59375,
49731.59,3.509683E-03,5.566488E-03,0.593679,744.5871,24.97689,2.13426,9.617018,23.12891,5.466563,28.23486,70.78049,1661.789,9.617018,24.59375,
49731.88,3.253073E-03,4.818761E-03,0.4266663,545.1252,24.93653,2.210568,9.617018,23.12891,5.475885,28.28742,70.98087,1667.072,9.617018,24.59375,
49732.18,4.120487E-03,4.696406E-03,0.4066796,574.7451,24.84166,2.241508,9.617018,23.12891,5.477712,28.29624,71.00192,1667.289,9.617018,24.59375,
49732.47,3.677745E-03,6.171467E-03,0.3616777,532.3983,24.73684,2.283535,9.617018,23.12891,5.475221,28.28976,70.98515,1667.13,9.617018,24.59375,
49732.77,3.627145E-03,5.416943E-03,0.3369167,522.3619,24.71437,2.285811,9.617018,23.12891,5.476799,28.2892,71.03825,1668.174,9.617018,24.59375,
49733.08,3.992182E-03,6.05591E-03,0.2949941,511.3553,24.64993,2.347352,9.617018,23.12891,5.471144,28.26489,70.90688,1665.161,9.617018,24.59375,
49733.36,3.863877E-03,5.437335E-03,0.2064028,414.9558,24.49035,2.42211,9.617018,23.12891,5.461887,28.21521,70.7497,1661.281,9.617018,24.59375,
49733.67,3.777136E-03,4.676013E-03,0.1647485,425.4181,24.36509,2.570708,9.617018,23.12891,5.472749,28.27098,70.81241,1662.197,9.617018,24.59375,
49733.95,3.469927E-03,4.533265E-03,0.1461743,398.3102,24.29896,2.611235,9.617018,23.12891,5.48457,28.33357,71.13551,1670.192,9.617018,24.59375,
49734.23,3.731958E-03,3.921489E-03,0.1587454,452.3187,24.2211,2.648517,9.617018,23.12891,5.488513,28.35016,71.28343,1674.452,9.617018,24.59375,
49734.52,4.386133E-03,1.603535E-03,0.1660338,474.2974,24.19261,2.633507,9.617018,23.12891,5.477812,28.29542,70.97559,1667.358,9.617018,24.59375,
49734.8,3.621724E-03,5.348968E-03,0.1670367,474.1739,24.09385,2.647404,9.617018,23.12891,5.478896,28.30232,70.99867,1667.71,9.617018,24.59375,
49735.09,3.659674E-03,5.117852E-03,0.1679407,490.3106,24.047,2.60833,9.617018,23.12891,5.469172,28.24853,70.95253,1667.591,9.617018,24.59375,
49735.39,4.02471E-03,4.424505E-03,0.1519372,416.0368,24.02759,2.642271,9.617018,23.12891,5.475943,28.28646,70.85909,1663.82,9.617018,24.59375,
49735.69,3.375957E-03,5.009091E-03,0.1460612,484.7018,24.00992,2.67539,9.617018,23.12891,5.469107,28.24785,70.88283,1665.262,9.638247,24.59375,
